Origem;Origem_Descr;Destino;Destino_Descr;Carga Geral 2015 Otimista;Carga Geral 2015 Médio;Carga Geral 2015 Pessimista;Carga Geral 2020 Otimista;Carga Geral 2020 Médio;Carga Geral 2020 Pessimista;Carga Geral 2025 Otimista;Carga Geral 2025 Médio;Carga Geral 2025 Pessimista;Carga Geral 2030 Otimista;Carga Geral 2030 Médio;Carga Geral 2030 Pessimista;Carga Geral 2035 Otimista;Carga Geral 2035 Médio;Carga Geral 2035 Pessimista
154;AIMORÉS;154;AIMORÉS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
154;AIMORÉS;155;ALFENAS;184.82;181.79;175.48;213.88;201.52;177.74;245.52;221.29;180.13;280.02;240.93;182.56;317.69;260.77;184.80
154;AIMORÉS;156;ALMENARA;70.05;69.13;67.03;82.65;78.77;70.79;96.42;88.44;74.30;111.41;98.16;77.48;127.76;107.86;80.35
154;AIMORÉS;157;ANDRELÂNDIA;49.05;48.28;46.43;57.81;54.53;47.68;67.35;60.83;48.82;77.77;67.10;49.90;89.15;73.43;50.90
154;AIMORÉS;158;ARAÇUAÍ;40.64;40.06;38.79;47.60;45.25;40.45;55.28;50.48;42.01;63.59;55.70;43.42;72.66;60.97;44.67
154;AIMORÉS;159;ARAXÁ;285.83;280.93;272.15;329.69;309.86;276.80;377.41;338.83;281.62;429.49;367.57;286.45;486.33;396.56;291.04
154;AIMORÉS;160;BARBACENA;236.99;232.79;223.99;280.41;263.09;229.97;327.70;293.43;235.66;379.20;323.77;241.04;435.41;354.32;245.84
154;AIMORÉS;161;BELO HORIZONTE;8785.47;8683.45;8455.34;10140.69;9704.01;8799.67;11622.00;10731.26;9115.92;13231.48;11767.65;9402.76;14985.81;12803.54;9652.27
154;AIMORÉS;162;BOCAIÚVA;36.76;36.24;35.07;43.51;41.39;36.94;50.90;46.56;38.71;58.89;51.73;40.29;67.68;56.92;41.74
154;AIMORÉS;163;BOM DESPACHO;227.25;223.45;214.77;267.95;252.13;219.48;312.41;280.97;223.88;360.94;309.94;228.02;414.21;339.30;231.57
154;AIMORÉS;164;CAMPO BELO;93.43;91.87;88.59;108.94;102.57;90.23;125.85;113.28;91.87;144.27;123.98;93.43;164.39;134.73;94.86
154;AIMORÉS;165;CAPELINHA;76.67;75.49;73.10;89.96;85.00;75.92;104.46;94.55;78.62;120.22;104.08;81.16;137.35;113.63;83.38
154;AIMORÉS;166;CARATINGA;291.58;286.97;277.09;338.35;319.49;281.95;389.27;352.08;286.66;444.74;384.60;291.13;505.23;417.41;294.62
154;AIMORÉS;167;CATAGUASES;277.36;271.00;261.80;332.58;306.95;272.62;392.55;343.13;283.30;457.99;378.70;293.35;529.15;414.71;302.65
154;AIMORÉS;168;CONCEIÇÃO DO MATO DENTRO;37.55;37.05;35.86;44.59;42.32;37.90;52.25;47.56;39.81;60.56;52.83;41.55;69.55;58.13;43.13
154;AIMORÉS;169;CONSELHEIRO LAFAIETE;176.29;174.00;168.52;210.34;200.31;179.51;247.39;226.58;189.81;287.39;252.90;199.26;330.67;278.87;207.96
154;AIMORÉS;170;CURVELO;86.35;84.98;82.21;102.28;96.61;86.12;119.68;108.28;89.77;138.70;119.95;93.14;159.49;131.72;96.19
154;AIMORÉS;171;DIAMANTINA;33.04;32.58;31.54;39.02;37.07;33.12;45.52;41.57;34.58;52.60;46.10;35.91;60.37;50.63;37.09
154;AIMORÉS;172;DIVINÓPOLIS;465.36;456.78;440.77;555.51;519.97;459.98;653.71;583.27;478.25;760.68;646.44;495.22;877.31;709.89;510.84
154;AIMORÉS;173;FORMIGA;110.87;109.17;105.54;131.18;124.02;110.27;153.30;138.82;114.76;177.22;153.63;118.93;203.24;168.31;122.81
154;AIMORÉS;174;FRUTAL;324.50;319.24;307.32;376.66;355.05;309.90;433.61;391.06;312.58;495.99;427.09;315.32;564.50;463.86;317.81
154;AIMORÉS;175;GOVERNADOR VALADARES;628.15;618.20;595.75;743.92;702.33;616.96;870.29;786.85;636.66;1007.99;871.66;654.71;1158.53;957.28;669.72
154;AIMORÉS;176;GRÃO MOGOL;16.20;15.87;15.43;19.29;18.03;16.24;22.66;20.19;17.09;26.35;22.30;17.84;30.40;24.46;18.52
154;AIMORÉS;177;GUANHÃES;70.56;69.40;67.08;83.63;78.79;69.90;97.91;88.20;72.58;113.49;97.64;75.01;130.58;107.20;77.19
154;AIMORÉS;178;IPATINGA;757.92;744.71;721.35;909.16;853.76;765.91;1073.51;962.72;808.49;1250.48;1071.14;847.94;1441.14;1177.20;884.33
154;AIMORÉS;179;ITABIRA;402.04;396.06;382.79;479.69;454.06;403.68;564.31;512.17;423.22;655.95;570.36;441.19;755.47;628.13;457.47
154;AIMORÉS;180;ITAGUARA;53.20;52.46;50.82;62.82;59.60;53.33;73.31;66.72;55.78;84.64;73.91;58.06;96.90;80.97;60.20
154;AIMORÉS;181;ITAJUBÁ;115.13;113.28;109.29;136.42;128.61;113.63;159.55;143.93;117.87;184.64;159.24;121.78;212.03;174.54;125.53
154;AIMORÉS;182;ITUIUTABA;227.71;224.01;215.35;266.27;250.94;218.09;308.43;278.11;220.73;354.59;305.39;223.20;405.26;333.22;225.36
